Secção,Parte,TempoMin,TempoMax
Empenha-se no Ministério,Iniciar conversas,1,5
Empenha-se no Ministério,Cultivar o interesse,1,5
Empenha-se no Ministério,Fazer discípulos,1,5
Empenha-se no Ministério,Discurso,5
Empenha-se no Ministério,Explicar as suas crenças,1,5
Viver como Cristãos,Necessidades Locais,5,15
Viver como Cristãos,Realizações da Organização,5,15
Viver como Cristãos,Atualização Corpo Governante,5,15
